gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_binary,tenure_group,num_services,avg_monthly_spend,has_internet,TotalCharges_log,tenure_x_monthly,charges_per_service,spend_to_tenure_ratio,tenure^2,tenure MonthlyCharges,MonthlyCharges^2,customer_segment
Female,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0,0-12,2,29.85,1,3.4291367503513968,29.85,14.925,14.925,1.0,29.85,891.0225,0
Male,No,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,0,25-48,4,55.5735294117647,1,7.544596623330987,1936.3000000000002,14.2375,53.98571428571429,1156.0,1936.3000000000002,3243.3025000000002,3
Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,0-12,4,54.075,1,4.692723082995953,107.7,13.4625,36.050000000000004,4.0,107.7,2899.8225,0
Male,No,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,0,25-48,4,40.90555555555556,1,7.518471485562923,1903.4999999999998,10.575,40.016304347826086,2025.0,1903.4999999999998,1789.2899999999997,3
Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,0-12,2,75.825,1,5.028147719180887,141.4,35.35,50.550000000000004,4.0,141.4,4998.490000000001,2
Female,No,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,0-12,6,102.5625,1,6.711131937477322,797.2,16.608333333333334,91.16666666666667,64.0,797.2,9930.122500000001,2
Male,No,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,0,13-24,5,88.60909090909091,1,7.575789758727007,1960.1999999999998,17.82,84.75652173913043,484.0,1960.1999999999998,7938.809999999999,2
Female,No,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0,0-12,2,30.189999999999998,1,5.713402718033191,297.5,14.875,27.44545454545454,100.0,297.5,885.0625,0
Female,No,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,25-48,7,108.78750000000001,1,8.02192918843427,2934.4,14.971428571428572,105.03620689655173,784.0,2934.4,10983.039999999999,2
Male,No,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,0,61-72,4,56.25725806451613,1,8.15735611033029,3481.2999999999997,14.0375,55.364285714285714,3844.0,3481.2999999999997,3152.8224999999998,3
Male,No,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,0,13-24,3,45.18846153846154,1,6.377491961323671,649.35,16.650000000000002,41.96071428571429,169.0,649.35,2495.0025000000005,0
Male,No,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,13-24,1,20.425,0,5.792403666309729,303.2,18.95,19.223529411764705,256.0,303.2,359.10249999999996,0
Male,No,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0,49-60,6,97.95,1,8.645076161696084,5820.299999999999,16.724999999999998,96.28983050847458,3364.0,5820.299999999999,10070.1225,1
Male,No,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,49-60,7,102.78163265306122,1,8.524625503233533,5081.3,14.814285714285715,100.726,2401.0,5081.3,10753.69,1
Male,No,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,0,25-48,7,107.44200000000001,1,7.8961992165555,2637.5,15.071428571428571,103.3096153846154,625.0,2637.5,11130.25,2
Female,No,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0,61-72,9,114.42246376811593,1,8.974130577893364,7814.25,12.583333333333334,112.78785714285713,4761.0,7814.25,12825.5625,1
Female,No,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,0,49-60,1,19.672115384615385,0,6.931422976282321,1073.8,20.65,19.300943396226415,2704.0,1073.8,426.42249999999996,3
Male,No,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0,61-72,7,103.97535211267606,1,8.906969200059761,7575.7,15.242857142857144,102.53125,5041.0,7575.7,11384.890000000001,1
Female,No,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,0-12,4,52.835,1,6.271649838789389,552.0,13.8,48.03181818181818,100.0,552.0,3047.0400000000004,0
Female,No,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,0,13-24,5,88.70952380952382,1,7.530426345737758,1891.05,18.009999999999998,84.67727272727274,441.0,1891.05,8109.0025,2
Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,0-12,3,39.65,1,3.7049988359938197,39.65,13.216666666666667,19.825,1.0,39.65,1572.1225,0
Male,No,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0,0-12,1,16.854166666666668,0,5.31443674842792,237.60000000000002,19.8,15.557692307692308,144.0,237.60000000000002,392.04,0
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,0-12,1,20.15,0,3.0516399054922867,20.15,20.15,10.075,1.0,20.15,406.0224999999999,0
Female,No,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0,49-60,5,60.432758620689654,1,8.16225958760722,3474.2,11.98,59.40847457627118,3364.0,3474.2,3588.0099999999998,3
Male,No,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,0,49-60,5,60.61836734693878,1,7.996754846467186,2920.4,11.92,59.406000000000006,2401.0,2920.4,3552.1600000000003,3
Female,No,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,0,25-48,4,51.019999999999996,1,7.3340682196031395,1659.0,13.825,49.37419354838709,900.0,1659.0,3058.0899999999997,2
Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,25-48,6,101.04574468085106,1,8.46593147547745,4669.45,16.558333333333334,98.940625,2209.0,4669.45,9870.422499999999,1
Male,No,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,0-12,2,30.2,1,3.4404180948154366,30.2,15.1,15.1,1.0,30.2,912.04,0
Male,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,0,61-72,9,88.46458333333334,1,8.759425389713137,6498.0,10.027777777777779,87.2527397260274,5184.0,6498.0,8145.0625,1
Female,No,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,13-24,4,64.3,1,6.9976873864827445,1099.9,16.175,60.727777777777774,289.0,1099.9,4186.09,2
Female,Yes,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0,61-72,7,95.30915492957746,1,8.819953513551914,6840.849999999999,13.764285714285714,93.98541666666667,5041.0,6840.849999999999,9283.322499999998,1
Male,Yes,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0,0-12,5,90.825,1,5.207571753241291,191.0,19.1,60.550000000000004,4.0,191.0,9120.25,2
Female,No,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,0,25-48,6,69.42407407407407,1,7.536603909609118,1786.0500000000002,11.025,66.94464285714285,729.0,1786.0500000000002,4375.822500000001,2
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0,0-12,1,20.2,0,3.054001181677967,20.2,20.2,10.1,1.0,20.2,408.03999999999996,0
Male,Yes,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0,0-12,2,45.25,1,3.834061463958434,45.25,22.625,22.625,1.0,45.25,2047.5625,0
Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,0,61-72,7,100.71805555555555,1,8.88912909231302,7192.8,14.271428571428572,99.33835616438355,5184.0,7192.8,9980.010000000002,1
Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,0-12,2,63.379999999999995,1,5.761736867916757,348.5,34.85,52.81666666666666,25.0,348.5,4858.09,2
Female,No,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,0,25-48,3,77.13695652173914,1,8.174505679927726,3440.7999999999997,24.933333333333334,75.49574468085106,2116.0,3440.7999999999997,5595.04,1
Male,No,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,25-48,7,104.38970588235294,1,8.174773302525123,3615.8999999999996,15.192857142857141,101.40714285714286,1156.0,3615.8999999999996,11310.322499999998,1
Female,No,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,0-12,6,100.4909090909091,1,7.008866780350549,1076.35,16.308333333333334,92.11666666666667,121.0,1076.35,9574.6225,2
Male,No,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0,0-12,3,47.57,1,6.16688736221078,495.5,16.516666666666666,43.24545454545454,100.0,495.5,2455.2025,0
Female,No,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,0,61-72,6,69.605,1,8.491536864602452,4844.0,11.533333333333333,68.62464788732395,4900.0,4844.0,4788.64,1
Female,No,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,0,13-24,1,24.602941176470587,0,6.038467400703318,352.75,20.75,23.23611111111111,289.0,352.75,430.5625,0
Female,No,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,0,61-72,8,77.16587301587302,1,8.489297705097483,5030.549999999999,9.98125,75.96015625,3969.0,5030.549999999999,6376.022499999999,1
Female,No,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,0,13-24,7,75.49615384615385,1,6.890049451863205,990.6,10.885714285714286,70.10357142857143,169.0,990.6,5806.4400000000005,2
Female,No,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,0,49-60,4,79.72857142857143,1,8.270704244607035,4140.5,21.125,78.134,2401.0,4140.5,7140.25,1
Male,No,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0,0-12,3,48.5,1,4.584967478670572,98.5,16.416666666666668,32.333333333333336,4.0,98.5,2425.5625,0
Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,0-12,3,72.075,1,4.977767690470639,161.3,26.883333333333336,48.050000000000004,4.0,161.3,6504.422500000001,2
Male,No,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,0,49-60,7,81.11153846153846,1,8.347306006402459,4147.0,11.392857142857142,79.5811320754717,2704.0,4147.0,6360.0625,1
Female,No,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,0,61-72,6,61.6536231884058,1,8.355873542493944,4426.35,10.691666666666668,60.77285714285715,4761.0,4426.35,4115.222500000001,1
Female,Yes,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,0,25-48,5,89.27325581395348,1,8.253162539295738,3880.75,18.05,87.24431818181819,1849.0,3880.75,8145.0625,1
Female,No,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,13-24,6,95.09333333333333,1,7.263609886536967,1486.5,16.516666666666666,89.15,225.0,1486.5,9820.81,2
