cgpa,math_score,programming_score,communication_score,ml_skill,web_skill,security_skill,cloud_skill,stats_skill,internship_count,project_count,interest_area,career_path
3.4,82,47,60,6,9,2,6,7,0,3,data,Data Science
3.78,83,64,88,9,2,6,3,8,2,4,web,Data Science
2.79,47,86,74,0,3,1,7,3,1,5,web,Web Development
3.15,55,84,57,4,7,9,8,8,0,4,data,Data Science
3.12,80,67,46,8,7,1,0,6,2,5,ai,AI / Machine Learning Engineering
3.34,40,44,65,6,6,8,9,9,3,4,ai,Cyber Security
3.32,54,82,68,3,6,2,5,1,1,4,ai,AI / Machine Learning Engineering
3.06,94,67,64,6,0,0,8,8,3,4,cloud,Data Science
3.06,54,98,93,7,8,3,0,0,1,3,ai,AI / Machine Learning Engineering
3.69,41,92,83,9,5,6,3,6,2,2,ai,AI / Machine Learning Engineering
3.4,48,99,98,5,2,3,3,2,1,2,cloud,AI / Machine Learning Engineering
3.7,50,67,96,8,1,6,9,2,2,3,data,AI / Machine Learning Engineering
3.14,80,74,58,2,3,7,5,7,0,3,data,Data Science
2.72,72,43,72,4,3,7,7,6,2,0,ai,AI / Machine Learning Engineering
3.33,90,93,47,1,4,0,0,4,3,4,web,Web Development
3.33,76,63,68,0,4,2,0,3,2,4,ai,Web Development
3.27,79,85,63,1,5,6,1,9,1,1,security,Data Science
3.41,64,63,52,9,6,8,3,3,0,5,security,Cyber Security
3.01,64,97,61,9,9,5,0,3,1,5,ai,AI / Machine Learning Engineering
3.18,45,84,71,3,2,6,7,3,3,4,cloud,Cloud / DevOps Engineering
3.91,40,97,97,0,1,5,8,7,0,4,web,Cloud / DevOps Engineering
3.23,90,76,61,8,4,0,3,4,3,1,security,AI / Machine Learning Engineering
3.07,49,97,58,9,0,7,4,3,3,1,data,AI / Machine Learning Engineering
2.95,90,82,76,2,0,0,7,9,2,3,ai,Data Science
3.69,68,65,49,9,1,2,8,6,3,1,security,AI / Machine Learning Engineering
2.87,48,63,74,0,2,3,1,0,2,5,web,Web Development
3.45,59,87,64,5,2,0,3,8,2,3,ai,AI / Machine Learning Engineering
3.65,60,75,92,6,8,6,4,9,1,5,web,Data Science
3.37,83,56,77,6,7,9,8,1,2,1,data,Cyber Security
3.07,46,64,84,3,3,5,2,5,2,2,ai,AI / Machine Learning Engineering
3.84,47,80,78,0,2,8,0,8,3,0,ai,Data Science
4.0,53,54,70,0,4,5,5,2,3,0,cloud,Cloud / DevOps Engineering
2.72,99,89,67,4,8,3,5,0,0,0,web,Web Development
3.51,49,95,69,1,4,6,7,0,1,0,web,Web Development
3.29,44,70,44,5,2,4,6,4,0,4,security,Cyber Security
2.85,40,88,79,1,7,6,9,9,1,5,security,Cyber Security
3.1,87,86,62,4,4,1,2,6,1,3,cloud,Data Science
3.34,72,63,54,6,9,2,0,4,0,3,web,Web Development
3.35,50,90,86,8,6,6,5,7,3,3,ai,AI / Machine Learning Engineering
2.99,61,60,45,0,4,8,9,1,0,5,ai,Cyber Security
2.71,87,56,65,3,0,7,0,2,0,3,ai,AI / Machine Learning Engineering
3.86,53,98,95,2,6,2,6,1,1,5,web,Web Development
2.78,65,83,64,0,3,8,3,9,2,0,web,Cyber Security
2.79,80,76,45,3,9,1,7,5,0,0,ai,Web Development
3.22,79,76,75,7,5,1,3,3,2,5,cloud,AI / Machine Learning Engineering
2.5,84,83,44,5,9,5,3,2,3,0,security,Web Development
3.51,52,82,42,0,5,1,7,9,0,1,cloud,Data Science
3.41,63,77,94,2,0,4,1,4,3,2,cloud,Data Science
2.96,69,74,60,4,4,2,9,3,0,4,web,Web Development
3.48,54,72,64,0,0,6,1,4,3,2,web,Data Science
3.88,66,75,68,5,8,0,4,6,0,5,ai,Web Development
2.3,84,63,91,7,7,4,3,1,2,2,security,Web Development
3.27,47,62,86,9,9,7,1,8,0,3,web,Web Development
3.07,65,85,75,5,6,8,0,5,2,2,web,Web Development
3.54,50,77,41,6,1,1,0,2,1,0,web,AI / Machine Learning Engineering
2.79,59,80,88,3,5,5,7,0,2,0,ai,Cloud / DevOps Engineering
4.0,68,69,55,7,2,1,0,2,2,1,web,AI / Machine Learning Engineering
3.32,78,42,71,9,9,2,1,0,2,3,cloud,Web Development
3.21,47,93,96,4,2,2,0,7,1,2,ai,AI / Machine Learning Engineering
2.77,70,94,87,1,6,9,6,0,2,4,data,Cyber Security
2.99,81,41,42,6,6,3,4,4,1,5,ai,AI / Machine Learning Engineering
3.19,71,56,89,2,0,8,7,1,0,0,ai,Cyber Security
2.98,50,45,57,4,9,3,8,5,1,0,web,Web Development
2.84,84,96,92,6,9,0,9,4,3,5,web,Web Development
2.59,75,88,98,6,7,2,5,1,2,5,data,Web Development
3.29,98,84,82,1,8,9,1,4,0,0,ai,Web Development
3.59,88,56,49,8,6,0,7,2,3,4,security,AI / Machine Learning Engineering
3.26,71,49,55,6,0,6,9,4,1,1,ai,AI / Machine Learning Engineering
3.74,70,69,91,6,2,1,9,6,0,5,web,Cloud / DevOps Engineering
3.7,83,78,54,7,0,3,5,8,0,1,web,AI / Machine Learning Engineering
3.02,71,74,98,6,3,0,4,8,3,3,cloud,Data Science
3.03,53,95,69,1,3,1,4,8,3,0,cloud,Data Science
3.53,73,64,46,3,3,7,3,5,0,2,web,Data Science
2.95,44,93,86,6,0,8,2,3,1,0,data,AI / Machine Learning Engineering
2.98,95,86,64,8,3,4,1,8,3,2,ai,AI / Machine Learning Engineering
2.84,99,54,77,7,4,9,1,5,0,3,data,Data Science
3.64,72,45,63,2,7,0,8,8,0,1,data,Data Science
3.29,57,75,41,6,1,0,8,0,3,1,web,AI / Machine Learning Engineering
3.42,67,99,54,4,5,3,3,3,1,3,ai,AI / Machine Learning Engineering
3.01,89,53,86,3,2,3,6,0,1,2,ai,AI / Machine Learning Engineering
3.53,86,53,59,5,2,0,7,4,2,4,web,Cloud / DevOps Engineering
3.1,74,88,64,7,1,7,8,0,0,4,data,AI / Machine Learning Engineering
3.86,59,75,48,5,8,5,5,4,0,1,security,Cyber Security
2.57,84,64,72,5,8,7,5,2,3,0,ai,AI / Machine Learning Engineering
2.85,52,69,72,3,9,5,6,1,1,1,security,Web Development
3.22,89,51,47,7,1,3,6,3,3,3,web,AI / Machine Learning Engineering
3.89,64,84,90,9,2,6,3,7,0,4,security,AI / Machine Learning Engineering
2.75,74,68,93,0,6,0,4,9,0,3,web,Web Development
4.0,97,92,73,3,1,1,3,5,2,1,cloud,Data Science
3.0,65,47,75,6,9,1,6,4,0,5,web,Web Development
